gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtkmm-4.0 4.20.0-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
guile 3.0.11-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gwenview 25.12.2-1
gzip 1.14-2
harfbuzz 12.3.2-1
harfbuzz-icu 12.3.2-1
haruna 1.7.1-1
haveged 1.9.19-1
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-2
hunspell 1.7.2-3
hwdata 0.404-1
hwdetect 2025.08.16.1333-1
hwinfo 25.2-1
hwloc 2.13.0-1
hyphen 2.8.8-6
i2c-tools 4.4-4
iana-etc 20260203-1
icu 78.2-2
iio-sensor-proxy 3.8-1
ijs 0.35-6
imagemagick 7.1.2.15-1
imath 3.2.2-3
inetutils 2.7-2
intel-ucode 20260210-1
inxi 3.3.40.1-1
iproute2 6.19.0-2
iptables-nft 1:1.8.11-2
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
iwd 3.11-2
jansson 2.15.0-1
jasper 4.2.8-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk-openjdk 25.0.2.u10-1
jemalloc 1:5.3.0-5
jfsutils 1.1.15-9
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 25.12.2-1
kactivitymanagerd 6.6.1-1
karchive 6.23.0-1
kate 25.12.2-1
kauth 6.23.0-1
kbd 2.9.0-1
kbookmarks 6.23.0-1
kcalc 25.12.2-1
kcmutils 6.23.0-1
kcodecs 6.23.0-1
kcolorpicker 0.3.1-5
kcolorscheme 6.23.0-1
kcompletion 6.23.0-1
kconfig 6.23.0-1
kconfigwidgets 6.23.0-1
kcontacts 1:6.23.0-1
kcoreaddons 6.23.0-1
kcrash 6.23.0-1
kdbusaddons 6.23.0-1
kde-cli-tools 6.6.1-1
kde-gtk-config 6.6.1-1
kdeclarative 6.23.0-1
kdeconnect 25.12.2-1
kdecoration 6.6.1-1
kded 6.23.0-1
kdegraphics-mobipocket 25.12.2-1
kdegraphics-thumbnailers 25.12.2-1
kdenetwork-filesharing 25.12.2-1
kdeplasma-addons 6.6.1-1
kdesu 6.23.0-1
kdnssd 6.23.0-1
kdsingleapplication 1.2.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-2
kernel-install-for-dracut 1.14.2-1
keyd 2.6.0-5
keyutils 1.6.3-3
kfilemetadata 6.23.0-1
kgamma 6.6.1-1
kglobalaccel 6.23.0-1
kglobalacceld 6.6.1-1
kguiaddons 6.23.0-1
kholidays 1:6.23.0-1
ki18n 6.23.0-1
kiconthemes 6.23.0-1
kidletime 6.23.0-1
kimageannotator 0.7.2-1
kimageformats 6.23.0-1
kinfocenter 6.6.1-1
kio 6.23.0-1
kio-admin 25.12.2-1
kio-extras 25.12.2-1
kio-fuse 5.1.1-1
kirigami 6.23.0-1
kirigami-addons 1.11.0-1
kitemmodels 6.23.0-1
kitemviews 6.23.0-1
kjobwidgets 6.23.0-1
kmenuedit 6.6.1-1
kmod 34.2-1
knewstuff 6.23.0-1
knighttime 6.6.1-1
knotifications 6.23.0-1
knotifyconfig 6.23.0-1
konsole 25.12.2-1
kpackage 6.23.0-1
kparts 6.23.0-1
kpeople 6.23.0-1
kpipewire 6.6.1-1
kpmcore 25.12.2-1
kpty 6.23.0-1
kquickcharts 6.23.0-1
kquickimageeditor 0.6.0-2
krb5 1.21.3-2
krunner 6.23.0-1
kscreen 6.6.1-1
kscreenlocker 6.6.1-1
kservice 6.23.0-1
kstatusnotifieritem 6.23.0-1
ksvg 6.23.0-1
ksystemstats 6.6.1-1
ktexteditor 6.23.0-1
ktextwidgets 6.23.0-1
kunitconversion 6.23.0-1
kuserfeedback 6.23.0-1
kwallet 6.23.0-1
kwallet-pam 6.6.1-1
kwayland 6.6.1-1
kwayland-integration 6.6.1-1
kwayland5 5.116.0-2
kwidgetsaddons 6.23.0-1
kwin 6.6.1-3
kwin-x11 6.6.1-1
kwindowsystem 6.23.0-1
kwindowsystem5 5.116.0-2
kxmlgui 6.23.0-1
l-smash 2.14.5-4
lame 3.101.r6531-1
lapack 3.12.1-2
layer-shell-qt 6.6.1-1
lazygit 0.59.0-1
lcms2 2.18-1
ldb 2:4.23.5-1
leancrypto 1.6.0-1
less 1:692-1
libaccounts-glib 1.27-3
libaccounts-qt 1.17-1
libaio 0.3.113-3
libappindicator 12.10.1-1
libarchive 3.8.5-1
libasan 15.2.1+r604+g0b99615a8aef-1
libass 0.17.4-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-7
libatomic 15.2.1+r604+g0b99615a8aef-1
libavc1394 0.5.4-7
libavif 1.3.0-5
libavtp 0.2.0-3
libb2 0.98.1-3
libblockdev 3.4.0-2
libblockdev-crypto 3.4.0-2
libblockdev-fs 3.4.0-2
libblockdev-loop 3.4.0-2
libblockdev-mdraid 3.4.0-2
libblockdev-nvme 3.4.0-2
libblockdev-part 3.4.0-2
libblockdev-smart 3.4.0-2
libblockdev-swap 3.4.0-2
libbluray 1.4.0-2
libbpf 1.6.2-1
